UKPRN,HE Provider,Country of HE provider,Region of HE provider,Academic year,Financial year end,Category marker,Category,Value(£000s),Year End Month
10007783,The University of Aberdeen,Scotland,Scotland,2015/16,,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,-7408,All
10007849,Abertay University,Scotland,Scotland,2015/16,,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,-6329,All
10007852,The University of Dundee,Scotland,Scotland,2015/16,,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,-26771,All
10007772,Edinburgh Napier University,Scotland,Scotland,2015/16,,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,-4967,All
10007790,The University of Edinburgh,Scotland,Scotland,2015/16,,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,-41053,All
10007762,Glasgow Caledonian University,Scotland,Scotland,2015/16,,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,-5366,All
10002681,Glasgow School of Art,Scotland,Scotland,2015/16,,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,-1607,All
10007794,The University of Glasgow,Scotland,Scotland,2015/16,,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,-2398,All
10007764,Heriot-Watt University,Scotland,Scotland,2015/16,,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,-935,All
10005337,"Queen Margaret University, Edinburgh",Scotland,Scotland,2015/16,,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,-1476,All
10005500,Robert Gordon University,Scotland,Scotland,2015/16,,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,-20136,All
10005561,Royal Conservatoire of Scotland,Scotland,Scotland,2015/16,,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,2091,All
10007803,The University of St. Andrews,Scotland,Scotland,2015/16,,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,-13655,All
10005700,SRUC,Scotland,Scotland,2015/16,,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,2879,All
10007804,The University of Stirling,Scotland,Scotland,2015/16,,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,-9995,All
10007805,The University of Strathclyde,Scotland,Scotland,2015/16,,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,-4217,All
10007114,University of the Highlands and Islands,Scotland,Scotland,2015/16,,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,-2854,All
10007800,The University of the West of Scotland,Scotland,Scotland,2015/16,,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,-4964,All
,Total,Scotland,Scotland,2015/16,,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,-149161,All
10007783,The University of Aberdeen,Scotland,Scotland,2016/17,,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,18422,All
10007849,Abertay University,Scotland,Scotland,2016/17,,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,817,All
10007852,The University of Dundee,Scotland,Scotland,2016/17,,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,10744,All
10007772,Edinburgh Napier University,Scotland,Scotland,2016/17,,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,10400,All
10007790,The University of Edinburgh,Scotland,Scotland,2016/17,,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,-5129,All
10007762,Glasgow Caledonian University,Scotland,Scotland,2016/17,,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,1307,All
10002681,Glasgow School of Art,Scotland,Scotland,2016/17,,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,379,All
10007794,The University of Glasgow,Scotland,Scotland,2016/17,,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,-23878,All
10007764,Heriot-Watt University,Scotland,Scotland,2016/17,,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,6911,All
10005337,"Queen Margaret University, Edinburgh",Scotland,Scotland,2016/17,,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,3011,All
10005500,Robert Gordon University,Scotland,Scotland,2016/17,,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,1386,All
10005561,Royal Conservatoire of Scotland,Scotland,Scotland,2016/17,,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,2732,All
10007803,The University of St. Andrews,Scotland,Scotland,2016/17,,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,4045,All
10005700,SRUC,Scotland,Scotland,2016/17,,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,-11806,All
10007804,The University of Stirling,Scotland,Scotland,2016/17,,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,5418,All
10007805,The University of Strathclyde,Scotland,Scotland,2016/17,,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,9295,All
10007114,University of the Highlands and Islands,Scotland,Scotland,2016/17,,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,-697,All
10007800,The University of the West of Scotland,Scotland,Scotland,2016/17,,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,3392,All
,Total,Scotland,Scotland,2016/17,,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,36749,All
10007783,The University of Aberdeen,Scotland,Scotland,2017/18,31/07/2018,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,13417,"07, July"
10007783,The University of Aberdeen,Scotland,Scotland,2017/18,31/07/2018,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,13417,All
10007849,Abertay University,Scotland,Scotland,2017/18,31/07/2018,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,18784,"07, July"
10007849,Abertay University,Scotland,Scotland,2017/18,31/07/2018,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,18784,All
10007852,The University of Dundee,Scotland,Scotland,2017/18,31/07/2018,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,15101,"07, July"
10007852,The University of Dundee,Scotland,Scotland,2017/18,31/07/2018,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,15101,All
10007772,Edinburgh Napier University,Scotland,Scotland,2017/18,31/07/2018,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,18347,"07, July"
10007772,Edinburgh Napier University,Scotland,Scotland,2017/18,31/07/2018,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,18347,All
10007790,The University of Edinburgh,Scotland,Scotland,2017/18,31/07/2018,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,100983,"07, July"
10007790,The University of Edinburgh,Scotland,Scotland,2017/18,31/07/2018,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,100983,All
10007762,Glasgow Caledonian University,Scotland,Scotland,2017/18,31/07/2018,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,27196,"07, July"
10007762,Glasgow Caledonian University,Scotland,Scotland,2017/18,31/07/2018,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,27196,All
10002681,Glasgow School of Art,Scotland,Scotland,2017/18,31/07/2018,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,7092,"07, July"
10002681,Glasgow School of Art,Scotland,Scotland,2017/18,31/07/2018,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,7092,All
10007794,The University of Glasgow,Scotland,Scotland,2017/18,31/07/2018,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,34307,"07, July"
10007794,The University of Glasgow,Scotland,Scotland,2017/18,31/07/2018,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,34307,All
10007764,Heriot-Watt University,Scotland,Scotland,2017/18,31/07/2018,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,15305,"07, July"
10007764,Heriot-Watt University,Scotland,Scotland,2017/18,31/07/2018,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,15305,All
10005337,"Queen Margaret University, Edinburgh",Scotland,Scotland,2017/18,31/07/2018,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,7677,"07, July"
10005337,"Queen Margaret University, Edinburgh",Scotland,Scotland,2017/18,31/07/2018,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,7677,All
10005500,Robert Gordon University,Scotland,Scotland,2017/18,31/07/2018,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,41437,"07, July"
10005500,Robert Gordon University,Scotland,Scotland,2017/18,31/07/2018,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,41437,All
