UKPRN,HE Provider,Country of HE provider,Region of HE provider,Mode of employment,Atypical marker,Academic marker,Contract marker,Academic Year,Activity standard occupational classification,Number
10007783,The University of Aberdeen,Scotland,Scotland,All,Non-atypical,Academic,Academic,2014/15,"Managers, directors and senior officials",0
10007783,The University of Aberdeen,Scotland,Scotland,All,Non-atypical,Academic,Academic,2014/15,Professional occupations,1655
10007783,The University of Aberdeen,Scotland,Scotland,All,Non-atypical,Academic,Academic,2014/15,Associate professional and technical occupations,10
10007783,The University of Aberdeen,Scotland,Scotland,All,Non-atypical,Academic,Academic,2014/15,Clerical and manual occupations,0
10007783,The University of Aberdeen,Scotland,Scotland,All,Non-atypical,Academic,Academic,2014/15,Total academic staff,1665
10007783,The University of Aberdeen,Scotland,Scotland,All,Non-atypical,Non-academic,Non-academic,2014/15,"Managers, directors and senior officials ",55
10007783,The University of Aberdeen,Scotland,Scotland,All,Non-atypical,Non-academic,Non-academic,2014/15,Professional occupations ,325
10007783,The University of Aberdeen,Scotland,Scotland,All,Non-atypical,Non-academic,Non-academic,2014/15,Associate professional and technical occupations ,445
10007783,The University of Aberdeen,Scotland,Scotland,All,Non-atypical,Non-academic,Non-academic,2014/15,Administrative and secretarial occupations,585
10007783,The University of Aberdeen,Scotland,Scotland,All,Non-atypical,Non-academic,Non-academic,2014/15,Skilled trades occupations,65
10007783,The University of Aberdeen,Scotland,Scotland,All,Non-atypical,Non-academic,Non-academic,2014/15,"Caring, leisure and other service occupations",65
10007783,The University of Aberdeen,Scotland,Scotland,All,Non-atypical,Non-academic,Non-academic,2014/15,Sales and customer service occupations,35
10007783,The University of Aberdeen,Scotland,Scotland,All,Non-atypical,Non-academic,Non-academic,2014/15,"Process, plant and machine operatives",25
10007783,The University of Aberdeen,Scotland,Scotland,All,Non-atypical,Non-academic,Non-academic,2014/15,Elementary occupations,285
10007783,The University of Aberdeen,Scotland,Scotland,All,Non-atypical,Non-academic,Non-academic,2014/15,Total non-academic staff,1880
10007783,The University of Aberdeen,Scotland,Scotland,All,Non-atypical,Academic,All (excluding atypical),2014/15,"Managers, directors and senior officials",0
10007783,The University of Aberdeen,Scotland,Scotland,All,Non-atypical,Academic,All (excluding atypical),2014/15,Professional occupations,1655
10007783,The University of Aberdeen,Scotland,Scotland,All,Non-atypical,Academic,All (excluding atypical),2014/15,Associate professional and technical occupations,10
10007783,The University of Aberdeen,Scotland,Scotland,All,Non-atypical,Academic,All (excluding atypical),2014/15,Clerical and manual occupations,0
10007783,The University of Aberdeen,Scotland,Scotland,All,Non-atypical,Academic,All (excluding atypical),2014/15,Total academic staff,1665
10007783,The University of Aberdeen,Scotland,Scotland,All,Non-atypical,Non-academic,All (excluding atypical),2014/15,"Managers, directors and senior officials ",55
10007783,The University of Aberdeen,Scotland,Scotland,All,Non-atypical,Non-academic,All (excluding atypical),2014/15,Professional occupations ,325
10007783,The University of Aberdeen,Scotland,Scotland,All,Non-atypical,Non-academic,All (excluding atypical),2014/15,Associate professional and technical occupations ,445
10007783,The University of Aberdeen,Scotland,Scotland,All,Non-atypical,Non-academic,All (excluding atypical),2014/15,Administrative and secretarial occupations,585
10007783,The University of Aberdeen,Scotland,Scotland,All,Non-atypical,Non-academic,All (excluding atypical),2014/15,Skilled trades occupations,65
10007783,The University of Aberdeen,Scotland,Scotland,All,Non-atypical,Non-academic,All (excluding atypical),2014/15,"Caring, leisure and other service occupations",65
10007783,The University of Aberdeen,Scotland,Scotland,All,Non-atypical,Non-academic,All (excluding atypical),2014/15,Sales and customer service occupations,35
10007783,The University of Aberdeen,Scotland,Scotland,All,Non-atypical,Non-academic,All (excluding atypical),2014/15,"Process, plant and machine operatives",25
10007783,The University of Aberdeen,Scotland,Scotland,All,Non-atypical,Non-academic,All (excluding atypical),2014/15,Elementary occupations,285
10007783,The University of Aberdeen,Scotland,Scotland,All,Non-atypical,Non-academic,All (excluding atypical),2014/15,Total non-academic staff,1880
10007783,The University of Aberdeen,Scotland,Scotland,All,Non-atypical,All,All (excluding atypical),2014/15,Total,3545
