UKPRN,HE provider,Country of HE provider,Region of HE provider,First year marker,Level of study,Mode of study,Academic Year,Category marker,Category,Number
10007783,The University of Aberdeen,Scotland,Scotland,All,All,All,2018/19,Total,Total,14775
10007783,The University of Aberdeen,Scotland,Scotland,All,All,Full-time,2018/19,Total,Total,12750
10007783,The University of Aberdeen,Scotland,Scotland,All,All,Part-time,2018/19,Total,Total,2025
10007783,The University of Aberdeen,Scotland,Scotland,First year,All,All,2018/19,Total,Total,5485
10007783,The University of Aberdeen,Scotland,Scotland,First year,All,Full-time,2018/19,Total,Total,4545
10007783,The University of Aberdeen,Scotland,Scotland,First year,All,Part-time,2018/19,Total,Total,940
10007783,The University of Aberdeen,Scotland,Scotland,Other years,All,All,2018/19,Total,Total,9290
10007783,The University of Aberdeen,Scotland,Scotland,Other years,All,Full-time,2018/19,Total,Total,8205
10007783,The University of Aberdeen,Scotland,Scotland,Other years,All,Part-time,2018/19,Total,Total,1085
10007849,Abertay University,Scotland,Scotland,All,All,All,2018/19,Total,Total,4355
10007849,Abertay University,Scotland,Scotland,All,All,Full-time,2018/19,Total,Total,3895
10007849,Abertay University,Scotland,Scotland,All,All,Part-time,2018/19,Total,Total,465
10007849,Abertay University,Scotland,Scotland,First year,All,All,2018/19,Total,Total,1935
10007849,Abertay University,Scotland,Scotland,First year,All,Full-time,2018/19,Total,Total,1750
10007849,Abertay University,Scotland,Scotland,First year,All,Part-time,2018/19,Total,Total,185
10007849,Abertay University,Scotland,Scotland,Other years,All,All,2018/19,Total,Total,2420
10007849,Abertay University,Scotland,Scotland,Other years,All,Full-time,2018/19,Total,Total,2145
10007849,Abertay University,Scotland,Scotland,Other years,All,Part-time,2018/19,Total,Total,280
10007852,The University of Dundee,Scotland,Scotland,All,All,All,2018/19,Total,Total,15915
10007852,The University of Dundee,Scotland,Scotland,All,All,Full-time,2018/19,Total,Total,12125
10007852,The University of Dundee,Scotland,Scotland,All,All,Part-time,2018/19,Total,Total,3790
10007852,The University of Dundee,Scotland,Scotland,First year,All,All,2018/19,Total,Total,6520
10007852,The University of Dundee,Scotland,Scotland,First year,All,Full-time,2018/19,Total,Total,4565
10007852,The University of Dundee,Scotland,Scotland,First year,All,Part-time,2018/19,Total,Total,1955
10007852,The University of Dundee,Scotland,Scotland,Other years,All,All,2018/19,Total,Total,9395
10007852,The University of Dundee,Scotland,Scotland,Other years,All,Full-time,2018/19,Total,Total,7560
10007852,The University of Dundee,Scotland,Scotland,Other years,All,Part-time,2018/19,Total,Total,1835
10007772,Edinburgh Napier University,Scotland,Scotland,All,All,All,2018/19,Total,Total,13595
10007772,Edinburgh Napier University,Scotland,Scotland,All,All,Full-time,2018/19,Total,Total,11235
10007772,Edinburgh Napier University,Scotland,Scotland,All,All,Part-time,2018/19,Total,Total,2360
10007772,Edinburgh Napier University,Scotland,Scotland,First year,All,All,2018/19,Total,Total,5550
10007772,Edinburgh Napier University,Scotland,Scotland,First year,All,Full-time,2018/19,Total,Total,4465
10007772,Edinburgh Napier University,Scotland,Scotland,First year,All,Part-time,2018/19,Total,Total,1085
10007772,Edinburgh Napier University,Scotland,Scotland,Other years,All,All,2018/19,Total,Total,8045
10007772,Edinburgh Napier University,Scotland,Scotland,Other years,All,Full-time,2018/19,Total,Total,6765
10007772,Edinburgh Napier University,Scotland,Scotland,Other years,All,Part-time,2018/19,Total,Total,1275
10007790,The University of Edinburgh,Scotland,Scotland,All,All,All,2018/19,Total,Total,34275
10007790,The University of Edinburgh,Scotland,Scotland,All,All,Full-time,2018/19,Total,Total,30700
10007790,The University of Edinburgh,Scotland,Scotland,All,All,Part-time,2018/19,Total,Total,3575
10007790,The University of Edinburgh,Scotland,Scotland,First year,All,All,2018/19,Total,Total,14435
10007790,The University of Edinburgh,Scotland,Scotland,First year,All,Full-time,2018/19,Total,Total,12550
10007790,The University of Edinburgh,Scotland,Scotland,First year,All,Part-time,2018/19,Total,Total,1885
10007790,The University of Edinburgh,Scotland,Scotland,Other years,All,All,2018/19,Total,Total,19840
10007790,The University of Edinburgh,Scotland,Scotland,Other years,All,Full-time,2018/19,Total,Total,18150
10007790,The University of Edinburgh,Scotland,Scotland,Other years,All,Part-time,2018/19,Total,Total,1690
10007762,Glasgow Caledonian University,Scotland,Scotland,All,All,All,2018/19,Total,Total,16860
10007762,Glasgow Caledonian University,Scotland,Scotland,All,All,Full-time,2018/19,Total,Total,13575
10007762,Glasgow Caledonian University,Scotland,Scotland,All,All,Part-time,2018/19,Total,Total,3285
10007762,Glasgow Caledonian University,Scotland,Scotland,First year,All,All,2018/19,Total,Total,7195
10007762,Glasgow Caledonian University,Scotland,Scotland,First year,All,Full-time,2018/19,Total,Total,5630
10007762,Glasgow Caledonian University,Scotland,Scotland,First year,All,Part-time,2018/19,Total,Total,1565
10007762,Glasgow Caledonian University,Scotland,Scotland,Other years,All,All,2018/19,Total,Total,9665
10007762,Glasgow Caledonian University,Scotland,Scotland,Other years,All,Full-time,2018/19,Total,Total,7940
10007762,Glasgow Caledonian University,Scotland,Scotland,Other years,All,Part-time,2018/19,Total,Total,1720
10002681,Glasgow School of Art,Scotland,Scotland,All,All,All,2018/19,Total,Total,2285
10002681,Glasgow School of Art,Scotland,Scotland,All,All,Full-time,2018/19,Total,Total,2155
10002681,Glasgow School of Art,Scotland,Scotland,All,All,Part-time,2018/19,Total,Total,135
10002681,Glasgow School of Art,Scotland,Scotland,First year,All,All,2018/19,Total,Total,1005
10002681,Glasgow School of Art,Scotland,Scotland,First year,All,Full-time,2018/19,Total,Total,925
10002681,Glasgow School of Art,Scotland,Scotland,First year,All,Part-time,2018/19,Total,Total,80
10002681,Glasgow School of Art,Scotland,Scotland,Other years,All,All,2018/19,Total,Total,1285
10002681,Glasgow School of Art,Scotland,Scotland,Other years,All,Full-time,2018/19,Total,Total,1230
10002681,Glasgow School of Art,Scotland,Scotland,Other years,All,Part-time,2018/19,Total,Total,55
10007794,The University of Glasgow,Scotland,Scotland,All,All,All,2018/19,Total,Total,30805
10007794,The University of Glasgow,Scotland,Scotland,All,All,Full-time,2018/19,Total,Total,26585
10007794,The University of Glasgow,Scotland,Scotland,All,All,Part-time,2018/19,Total,Total,4220
10007794,The University of Glasgow,Scotland,Scotland,First year,All,All,2018/19,Total,Total,14590
10007794,The University of Glasgow,Scotland,Scotland,First year,All,Full-time,2018/19,Total,Total,11485
10007794,The University of Glasgow,Scotland,Scotland,First year,All,Part-time,2018/19,Total,Total,3105
10007794,The University of Glasgow,Scotland,Scotland,Other years,All,All,2018/19,Total,Total,16215
10007794,The University of Glasgow,Scotland,Scotland,Other years,All,Full-time,2018/19,Total,Total,15105
10007794,The University of Glasgow,Scotland,Scotland,Other years,All,Part-time,2018/19,Total,Total,1110
10007764,Heriot-Watt University,Scotland,Scotland,All,All,All,2018/19,Total,Total,10935
10007764,Heriot-Watt University,Scotland,Scotland,All,All,Full-time,2018/19,Total,Total,9370
10007764,Heriot-Watt University,Scotland,Scotland,All,All,Part-time,2018/19,Total,Total,1560
10007764,Heriot-Watt University,Scotland,Scotland,First year,All,All,2018/19,Total,Total,3975
10007764,Heriot-Watt University,Scotland,Scotland,First year,All,Full-time,2018/19,Total,Total,3350
10007764,Heriot-Watt University,Scotland,Scotland,First year,All,Part-time,2018/19,Total,Total,625
10007764,Heriot-Watt University,Scotland,Scotland,Other years,All,All,2018/19,Total,Total,6960
10007764,Heriot-Watt University,Scotland,Scotland,Other years,All,Full-time,2018/19,Total,Total,6020
10007764,Heriot-Watt University,Scotland,Scotland,Other years,All,Part-time,2018/19,Total,Total,940
10007773,The Open University,Scotland,Scotland,All,All,All,2018/19,Total,Total,16810
10007773,The Open University,Scotland,Scotland,All,All,Part-time,2018/19,Total,Total,16810
10007773,The Open University,Scotland,Scotland,First year,All,All,2018/19,Total,Total,7215
10007773,The Open University,Scotland,Scotland,First year,All,Part-time,2018/19,Total,Total,7215
10007773,The Open University,Scotland,Scotland,Other years,All,All,2018/19,Total,Total,9595
10007773,The Open University,Scotland,Scotland,Other years,All,Part-time,2018/19,Total,Total,9595
10005337,"Queen Margaret University, Edinburgh",Scotland,Scotland,All,All,All,2018/19,Total,Total,5225
10005337,"Queen Margaret University, Edinburgh",Scotland,Scotland,All,All,Full-time,2018/19,Total,Total,3685
10005337,"Queen Margaret University, Edinburgh",Scotland,Scotland,All,All,Part-time,2018/19,Total,Total,1540
10005337,"Queen Margaret University, Edinburgh",Scotland,Scotland,First year,All,All,2018/19,Total,Total,2380
10005337,"Queen Margaret University, Edinburgh",Scotland,Scotland,First year,All,Full-time,2018/19,Total,Total,1460
10005337,"Queen Margaret University, Edinburgh",Scotland,Scotland,First year,All,Part-time,2018/19,Total,Total,920
10005337,"Queen Margaret University, Edinburgh",Scotland,Scotland,Other years,All,All,2018/19,Total,Total,2845
10005337,"Queen Margaret University, Edinburgh",Scotland,Scotland,Other years,All,Full-time,2018/19,Total,Total,2225
